id,Gender,Age,City,Profession,Academic Pressure,Work Pressure,CGPA,Study Satisfaction,Job Satisfaction
367,Female,24,Kolkata,Student,3,0,5,4,0
370,Male,31,Nashik,Student,1,0,7,5,0
381,Male,20,Thane,Student,5,0,9,4,0
385,Male,21,Ludhiana,Student,2,0,7,5,0
392,Male,25,Kanpur,Student,1,0,9,3,0
398,Male,19,,Student,2,0,7,4,0
407,Female,34,Surat,Student,3,0,10,3,0
408,Male,24,Agra,Student,1,0,9,4,0
414,Male,33,Hyderabad,Student,5,0,8,3,0
420,Male,32,Patna,Student,3,0,9,5,0
421,Male,18,Bhopal,Student,3,,7,4,0
423,Female,31,Indore,Student,1,0,8,4,0
425,Female,25,Kalyan,Student,3,0,9,5,0
429,Male,20,Surat,Student,1,0,9,4,0
441,Male,31,Ghaziabad,Student,2,,8,1,0
447,Male,24,Surat,Student,5,,5,1,0
454,Male,24,Lucknow,Student,5,0,9,2,0
455,Female,23,,Student,5,,6,2,0
457,Female,25,Varanasi,Student,2,0,9,1,0
464,Male,25,Srinagar,Student,2,0,6,3,0
467,Female,25,Ghaziabad,Student,1,0,8,2,0
475,Female,28,Kalyan,Student,2,0,6,1,0
477,Female,20,Ahmedabad,Student,4,0,7,4,0
484,Female,24,Faridabad,Student,1,0,7,5,0
487,Male,23,Ludhiana,Student,1,0,10,4,0
491,Male,19,,Student,3,0,9,1,0
494,Female,24,,Student,3,0,6,3,0
503,Female,34,Surat,Student,2,0,9,5,0
508,Female,25,Ghaziabad,Student,2,0,7,4,0
509,Male,28,Nashik,Student,1,0,9,2,0
510,Female,27,Bhopal,Student,3,0,9,1,0
522,Male,22,,Student,2,0,10,4,0
523,Male,27,Kolkata,Student,4,0,7,1,0
525,Female,34,Hyderabad,Student,3,0,5,3,0
529,Male,22,Nagpur,Student,4,0,6,,0
530,Male,23,Lucknow,Student,3,0,8,2,0
534,Male,24,Kalyan,Student,3,0,10,1,0
535,Male,21,,Student,5,0,8,1,0
538,Male,26,Vasai-Virar,Student,4,,10,2,0
539,Female,24,Kolkata,Student,5,0,9,1,0
541,Male,34,Kolkata,Student,2,0,8,5,0
543,Female,29,Agra,Student,5,0,5,1,0
556,Male,33,Visakhapatnam,Student,1,0,9,3,0
580,Male,21,Patna,Student,1,0,9,3,0
587,Female,33,Delhi,Student,2,0,6,5,0
589,Male,28,Lucknow,Student,4,0,7,2,0
592,Male,27,,Student,2,0,9,1,0
594,Male,33,Meerut,Student,2,0,10,,0
595,Female,18,Delhi,Student,5,0,10,5,0
598,Female,20,Kolkata,Student,5,0,5,4,0
608,Female,19,Mumbai,Student,3,0,7,4,0
609,Male,21,Ahmedabad,'Civil Engineer',5,0,8,1,0
611,Male,32,Vasai-Virar,Student,2,0,8,1,0
617,Male,32,Delhi,Student,3,0,6,,0
620,Male,33,Rajkot,Student,3,0,10,1,0
623,Female,23,Bangalore,Student,5,,6,1,0
626,Male,24,Kalyan,Student,3,0,7,,0
632,Female,20,Srinagar,Student,4,0,9,3,0
658,Female,24,Ahmedabad,Student,5,0,8,2,0
660,Male,22,Chennai,Student,5,0,9,1,0
662,Male,26,Nashik,Student,5,0,6,4,0
668,Female,18,Vasai-Virar,Student,5,,9,4,0
671,Male,26,Vasai-Virar,Student,3,0,7,3,0
673,Male,33,Lucknow,Student,1,0,6,,0
676,Female,19,Visakhapatnam,Student,3,,6,1,0
681,Male,26,Jaipur,Student,3,0,5,3,0
683,Female,34,Lucknow,Student,3,0,8,2,0
687,Female,22,Pune,Student,1,0,6,4,0
688,Female,28,Surat,Student,2,0,8,3,0
695,Male,31,Lucknow,Student,5,,10,5,0
696,Female,18,Varanasi,Student,3,,10,4,0
697,Male,32,Thane,Student,2,0,9,3,0
701,Female,19,Jaipur,Student,3,0,5,4,0
707,Male,20,Mumbai,Student,5,0,9,2,0
708,Male,28,Nagpur,Student,2,0,8,2,0
709,Male,19,Bhopal,Student,2,0,9,4,0
710,Male,34,Pune,Student,3,0,9,,0
712,Male,20,Vadodara,Student,3,0,9,5,0
713,Male,18,Surat,Student,1,0,5,5,0
714,Female,29,Patna,Student,3,0,9,5,0
716,Male,24,Kolkata,Student,1,0,10,4,0
724,Male,33,,Student,4,0,7,3,0
728,Male,34,Nashik,Student,1,0,6,4,0
733,Female,29,Agra,Student,1,0,10,2,0
735,Male,27,Lucknow,Student,4,0,8,2,0
737,Female,31,Srinagar,Student,3,0,10,,0
744,Male,30,Ludhiana,Student,5,0,6,,0
746,Female,31,Thane,Student,4,0,9,,0
749,Male,26,Rajkot,Student,2,,6,,0
750,Male,21,Patna,Student,4,0,6,1,0
754,Female,34,Lucknow,Student,3,0,6,3,0
758,Male,24,,Student,1,0,6,2,0
759,Male,21,Varanasi,Student,3,0,8,2,0
763,Female,31,Nagpur,Student,5,0,6,2,0
764,Male,20,Lucknow,Student,5,0,5,4,0
770,Male,34,,Student,4,,8,3,0
774,Female,30,Ludhiana,Student,4,0,6,5,0
777,Male,30,,Student,1,0,6,5,0
779,Male,20,Bangalore,Student,5,0,10,1,0
781,Female,75,Jaipur,Student,1,0,10,1,0
785,Male,18,Agra,Student,5,0,5,4,0
793,Female,27,,Student,3,0,6,4,0
796,Male,26,Meerut,Student,5,0,5,3,0
804,Male,24,Ludhiana,Student,5,,6,5,0
811,Female,28,Vasai-Virar,Student,2,0,9,4,0
813,Female,24,Pune,Student,3,0,9,2,0
814,Female,32,,Student,1,0,8,3,0
821,Female,21,Patna,Student,5,0,6,1,0
823,Male,19,Visakhapatnam,Student,3,0,7,5,0
825,Female,24,Hyderabad,Student,2,0,9,4,0
831,Female,26,Ghaziabad,Student,1,0,6,4,0
832,Female,20,Srinagar,Student,2,0,9,3,0
836,Male,19,Kanpur,Student,3,0,7,5,0
839,Male,32,Hyderabad,Student,4,,8,2,0
843,Female,23,,Student,5,0,6,2,0
847,Female,23,Vasai-Virar,Student,4,0,8,1,0
852,Male,29,Vasai-Virar,Student,3,0,9,2,0
854,Female,29,Ahmedabad,Student,3,0,6,4,0
861,Female,27,Srinagar,Student,1,0,9,2,0
862,Female,33,Faridabad,Student,5,0,8,4,0
863,Female,33,Patna,Student,2,0,9,1,0
875,Male,31,Faridabad,Student,4,,8,5,0
877,Male,25,Nashik,Student,4,0,9,4,0
882,Female,29,Pune,Student,1,0,10,5,0
897,Female,18,Thane,Student,4,0,8,4,0
907,Female,18,Vadodara,Student,1,0,5,5,0
910,Male,22,Kolkata,Student,1,0,8,3,0
912,Male,24,Ghaziabad,Student,5,0,8,1,0
918,Male,24,Kolkata,Student,3,0,9,5,0
923,Male,30,,Student,4,,8,5,0
926,Male,33,Srinagar,Student,3,0,7,5,0
935,Male,34,Kalyan,Student,1,0,10,,0
941,Male,32,,Student,4,0,6,1,0
947,Male,33,Kanpur,Student,2,,10,3,0
949,Female,20,Pune,Student,5,0,6,2,0
953,Female,75,,Student,2,0,10,,0
955,Male,24,,Student,5,0,9,2,0
956,Male,23,Agra,Student,4,0,9,2,0
965,Female,30,Kolkata,Student,1,0,9,3,0
978,Female,39,,Student,5,0,7,4,0
984,Male,75,Bangalore,Student,1,0,7,5,0
991,Male,23,Patna,Student,5,0,9,1,0
995,Male,31,Lucknow,Student,1,0,10,1,0
997,Male,20,Mumbai,Student,1,,8,1,0
1003,Male,20,Chennai,Student,2,0,9,2,0
1006,Male,32,Kalyan,Student,5,0,10,1,0
1012,Female,22,Agra,Student,4,0,6,2,0
1015,Female,27,Jaipur,Student,3,0,9,1,0
1022,Female,18,Ahmedabad,Student,3,0,6,5,0
1029,Female,28,Faridabad,Student,4,0,9,2,0
1032,Female,22,Surat,Student,3,0,7,,0
1047,Female,20,,Student,5,0,8,1,0
1049,Male,20,Ludhiana,Student,3,0,6,2,0
1054,Male,30,Indore,Student,1,0,7,3,0
1055,Male,18,Srinagar,Student,1,0,6,5,0
1065,Female,26,Nashik,Student,4,0,8,3,0
1069,Male,34,Patna,Student,1,0,10,3,0
1075,Male,20,Lucknow,Student,5,0,10,5,0
1079,Male,20,,Student,2,0,6,3,0
1084,Female,33,,Student,3,0,7,4,0
1087,Female,20,Hyderabad,Student,3,0,6,2,0
1091,Female,28,Kalyan,Student,2,,9,5,0
1093,Female,26,Srinagar,Student,4,0,8,1,0
1094,Male,25,Vadodara,Student,3,0,6,3,0
1105,Female,28,Ahmedabad,Student,5,0,7,2,0
1108,Female,29,Chennai,Student,5,0,9,3,0
1117,Male,34,Lucknow,Student,3,0,10,4,0
1126,Female,29,Ghaziabad,Student,2,0,6,3,0
1130,Female,28,Srinagar,Student,1,0,6,3,0
1131,Female,33,Vadodara,Student,1,0,10,5,0
1134,Male,18,Vasai-Virar,Student,5,0,6,1,0
1148,Male,19,Ahmedabad,Student,5,0,8,1,0
1152,Female,27,Kalyan,Student,3,,8,1,0
1154,Female,29,Pune,Student,1,0,7,3,0
1156,Female,18,Kolkata,Student,5,0,5,5,0
1158,Male,27,Srinagar,Student,5,0,8,5,0
1165,Male,34,Kanpur,Student,2,0,8,5,0
1168,Female,19,Patna,Student,1,0,6,4,0
1170,Female,30,Thane,Student,5,0,8,3,0
1177,Female,25,Vasai-Virar,Student,3,0,8,4,0
1179,Female,20,Ludhiana,Student,5,0,9,3,0
1186,Female,20,Vasai-Virar,Student,5,0,9,2,0
1187,Female,20,Surat,Student,5,0,8,1,0
1197,Female,29,Lucknow,Student,2,0,9,4,0
1201,Male,24,Mumbai,Student,1,0,7,2,0
1213,Male,34,Hyderabad,Student,3,0,5,2,0
1215,Male,31,Varanasi,Student,2,0,8,3,0
1221,Male,23,Rajkot,Student,2,0,9,4,0
1222,Female,25,Vadodara,Student,2,0,6,1,0
1225,Female,24,Hyderabad,Student,4,0,9,2,0
1232,Female,25,Varanasi,Student,2,0,9,,0
1240,Male,23,Agra,Student,3,0,7,1,0
1241,Male,21,Nagpur,Student,5,0,7,,0
1244,Male,22,Thane,Student,1,0,7,3,0
1252,Male,33,Bhopal,Student,2,0,9,4,0
1254,Male,24,Kalyan,Student,4,0,10,2,0
1255,Female,25,Rajkot,Student,4,0,9,3,0
1263,Male,33,Agra,Student,3,,7,3,0
1275,Male,27,Kolkata,Student,1,0,7,1,0
1278,Female,31,Visakhapatnam,Student,3,0,10,3,0
1286,Female,19,Indore,Student,5,0,7,,0
1296,Male,29,Mumbai,Student,4,0,10,3,0
1301,Male,23,Kalyan,Student,3,0,10,1,0
1305,Male,25,Rajkot,Student,1,0,8,4,0
1307,Male,34,Srinagar,Student,3,0,6,2,0
1319,Male,18,Ahmedabad,Student,5,0,8,1,0
1324,Male,29,Hyderabad,Student,2,0,6,4,0
1328,Female,25,Vasai-Virar,Student,3,0,7,1,0
1329,Male,29,,Student,3,0,10,4,0
1334,Male,28,,Student,3,,10,,0
1336,Female,31,Faridabad,Student,2,0,10,3,0
1347,Male,30,Surat,Student,3,0,8,3,0
1348,Male,24,Ghaziabad,Student,5,0,9,4,0
1355,Male,26,Vadodara,Student,4,0,9,4,0
1360,Female,29,Visakhapatnam,Student,2,0,6,2,0
1361,Male,22,Ludhiana,Student,3,0,6,4,0
1369,Female,31,Chennai,Student,4,0,6,5,0
1370,Female,29,Ahmedabad,Student,4,0,6,4,0
1373,Female,18,,Student,4,0,7,5,0
1379,Female,27,Vadodara,Student,5,0,7,2,0
1381,Male,32,Indore,Student,3,0,9,5,0
1384,Male,30,Delhi,Student,2,0,8,2,0
1391,Male,26,Agra,Student,4,,10,1,0
1393,Male,28,,Student,4,0,8,1,0
1396,Male,28,Varanasi,Student,4,0,9,4,0
1399,Female,25,Vasai-Virar,Student,2,0,10,4,0
1403,Female,33,Pune,Student,2,,9,4,0
1411,Male,24,Kolkata,Student,5,0,10,4,0
1417,Female,22,Varanasi,Student,2,0,10,3,0
1425,Male,34,Agra,Student,1,0,10,5,0
1428,Male,29,Srinagar,Student,3,,10,3,3
1431,Male,32,Nashik,Student,2,0,9,5,0
1432,Female,31,Visakhapatnam,Student,5,0,9,,0
1439,Male,28,Vasai-Virar,Student,2,0,6,5,0
1444,Male,30,Varanasi,Student,5,0,8,5,0
1450,Female,26,,Student,1,0,10,3,0
1453,Male,19,Kolkata,Student,4,0,9,2,0
1457,Female,21,Bangalore,Student,5,0,8,1,0
1464,Male,22,,Student,4,0,7,3,0
1467,Male,-15,,Student,4,0,6,2,0
1472,Female,25,Varanasi,Student,2,0,6,1,0
1474,Female,24,Ghaziabad,Student,3,0,7,4,0
1475,Female,18,Kolkata,Student,3,0,5,3,0
1484,Female,19,Meerut,Student,5,0,6,3,0
1488,Female,30,Lucknow,Student,3,0,7,3,0
1493,Female,35,Meerut,Student,5,0,5,2,0
1494,Female,20,Chennai,Student,5,0,6,3,0
1498,Male,20,Lucknow,Student,3,0,10,2,0
1499,Female,18,Pune,Student,5,0,9,4,0
1501,Female,18,Thane,Student,3,,9,,0
1512,Female,30,Ghaziabad,Student,2,0,9,3,0
1513,Female,33,,Student,1,0,6,3,0
1515,Female,29,Vasai-Virar,Student,5,0,10,2,0
1526,Female,28,Srinagar,Student,1,,9,4,0
1528,Male,26,Rajkot,Student,1,0,7,4,0
1529,Male,22,Jaipur,Student,4,0,9,4,0
1535,Female,28,,Student,5,0,7,4,0
1536,Male,32,Srinagar,Student,4,0,6,,0
1545,Female,31,,Student,4,0,8,3,0
1565,Male,20,Rajkot,Student,4,0,6,3,0
1580,Female,30,Ghaziabad,Student,5,0,6,2,0
1582,Male,27,Lucknow,Student,1,0,7,4,0
1586,Male,26,Ahmedabad,Student,4,0,7,3,0
1589,Male,34,Vasai-Virar,Student,3,,5,5,0
1591,Female,20,Pune,Student,2,,6,4,0
1593,Male,22,Mumbai,Student,3,0,6,1,0
1600,Female,20,Ludhiana,Student,2,0,6,,0
1605,Female,27,Delhi,Student,3,0,9,1,0
1609,Female,25,Rajkot,Student,3,0,7,2,0
1616,Male,19,Delhi,Student,4,0,8,3,0
1618,Male,29,Ludhiana,Student,5,0,7,1,0
1623,Female,18,Bangalore,Student,3,0,6,2,0
1629,Female,21,Thane,Student,5,0,8,2,0
1632,Female,31,Hyderabad,Student,1,0,8,5,0
1643,Female,33,Kalyan,Student,4,0,6,1,0
1647,Male,33,Bangalore,Student,5,,7,4,0
1655,Male,21,Bangalore,Student,3,0,5,1,0
1657,Female,21,Kalyan,Student,5,0,6,1,0
1659,Male,23,Ghaziabad,Student,4,0,6,2,0
1662,Male,20,Mumbai,Student,4,0,9,4,0
1669,Female,20,Mumbai,Student,5,0,9,4,0
1675,Female,20,Lucknow,Student,5,0,7,4,0
1677,Male,20,Thane,Student,5,0,6,5,0
1682,Female,33,Indore,Student,4,0,8,4,0
1683,Male,29,Visakhapatnam,Student,5,0,6,4,0
1686,Female,21,Bhopal,Student,3,0,6,4,0
1701,Male,28,Ludhiana,Student,4,0,7,1,0
1705,Female,25,Lucknow,Student,4,0,8,5,0
1709,Female,22,Bhopal,Student,3,0,9,2,0
1746,Female,24,Rajkot,Student,1,0,7,3,0
1747,Male,19,Kolkata,Student,1,0,6,4,0
1750,Male,32,Vasai-Virar,Student,3,0,6,3,0
1756,Female,25,Vadodara,Student,1,0,9,4,0
1760,Female,25,Bhopal,Student,5,0,8,3,0
1762,Male,21,Jaipur,Student,4,0,8,1,0
1769,Female,28,Mumbai,Student,1,0,9,2,0
1770,Male,20,Faridabad,Student,3,0,9,2,0
1782,Male,26,Rajkot,Student,4,0,6,5,0
1795,Female,19,,Student,5,,6,5,0
1801,Male,25,Kanpur,Student,2,0,8,3,0
1802,Female,33,Indore,Student,3,0,5,5,0
1803,Female,20,Ludhiana,Student,2,0,9,5,0
1809,Male,22,,Student,3,0,6,3,0
1812,Male,26,Hyderabad,Student,2,0,10,,0
1813,Female,20,Chennai,Student,2,0,9,3,0
1822,Male,23,Jaipur,Student,1,0,7,3,0
1835,Male,33,Jaipur,Student,1,0,9,3,0
1843,Female,20,Indore,Student,4,0,7,3,0
1848,Female,29,Vasai-Virar,Student,5,0,5,3,0
1850,Male,33,Mumbai,Student,1,0,6,1,0
1856,Male,26,Agra,Student,1,0,10,4,0
1857,Female,27,Surat,Student,1,0,6,4,0
1864,Female,34,Varanasi,Student,5,0,6,2,0
1871,Male,34,Kanpur,Student,4,0,6,4,0
1876,Female,20,Indore,Student,3,0,9,,0
1877,Male,28,Ahmedabad,Student,5,0,8,,0
1881,Male,28,Bhopal,Student,3,0,8,,0
1891,Female,23,Kalyan,Student,3,0,6,4,0
1895,Female,34,Agra,Student,2,0,9,4,0
1897,Female,20,Rajkot,Student,3,,9,5,0
1908,Female,25,,Student,4,0,6,,0
1911,Male,26,Bhopal,Student,4,0,8,3,0
1922,Male,18,Lucknow,Student,3,0,9,2,0
1925,Female,24,,Student,3,0,6,2,0
1928,Male,28,Lucknow,Student,1,0,8,,0
1930,Male,34,Jaipur,Student,3,0,7,5,0
1932,Male,23,Nashik,Student,3,0,8,2,0
1944,Male,27,,Student,3,0,7,4,0
1952,Female,19,Agra,Student,1,0,6,2,0
1960,Male,32,Meerut,Student,3,0,6,4,0
1961,Female,20,Vadodara,Student,1,0,8,5,0
1965,Male,25,Lucknow,Student,3,0,7,4,0
1969,Female,24,Kolkata,Student,5,0,7,1,0
1970,Female,22,Patna,Student,5,0,8,2,0
1985,Male,27,Ludhiana,Student,3,0,8,2,0
1988,Female,18,Patna,Student,5,0,9,3,0
1995,Male,23,Rajkot,Student,1,0,7,5,0
2002,Female,29,Kolkata,Student,5,,9,4,0
2006,Female,18,Bhopal,Student,1,0,10,1,0
2007,Female,31,Indore,Student,2,0,8,3,0
2011,Female,33,Meerut,Student,5,0,9,5,0
2012,Male,33,,Student,4,0,5,4,0
2018,Female,75,Meerut,Student,1,0,9,3,0
2024,Male,28,Srinagar,Student,1,0,9,4,0
2030,Male,20,Srinagar,Student,4,0,10,3,0
2035,Male,25,Mumbai,Student,3,0,8,,0
2039,Female,21,Kolkata,Student,5,0,7,5,0
2040,Female,29,Srinagar,Student,5,0,9,4,0
2042,Female,33,Faridabad,Student,4,0,5,3,0
2045,Female,33,Ludhiana,Student,3,0,6,3,0
2046,Female,75,Vasai-Virar,Student,1,0,10,5,0
2051,Female,29,Chennai,Student,4,0,5,2,0
2060,Male,31,Delhi,Student,1,0,7,1,0
2063,Male,24,Bhopal,Student,1,0,9,4,0
2068,Female,19,Varanasi,Student,5,0,9,1,0
2078,Male,-15,Patna,Student,3,0,10,3,0
2086,Male,27,Meerut,Student,2,0,9,5,0
2088,Female,31,Srinagar,Student,3,0,10,3,0
2097,Female,28,Visakhapatnam,Student,4,,7,1,0
2104,Male,34,,Student,3,0,8,4,0
2105,Female,31,Vadodara,Architect,5,0,7,3,0
2108,Male,20,Indore,Student,3,0,9,1,0
2120,Female,18,Mumbai,Student,4,0,7,3,0
2127,Female,20,Lucknow,Student,4,0,6,,0
2140,Male,24,Ahmedabad,Student,4,0,9,3,0
2143,Female,28,,Student,3,0,9,3,0
2146,Female,19,Delhi,Student,5,0,5,4,0
2147,Male,28,Nagpur,Student,1,0,6,1,0
2150,Male,28,Kalyan,Student,1,0,10,5,0
2161,Female,28,Srinagar,Student,1,0,9,5,0
2171,Female,19,Chennai,Student,1,0,8,2,0
2182,Male,28,Srinagar,Student,2,0,8,2,0
2183,Female,21,Varanasi,Student,3,0,9,1,0
2198,Female,19,Srinagar,Student,1,0,6,4,0
2203,Male,29,Kolkata,Student,4,0,9,1,0
2204,Male,32,Kanpur,Student,2,0,7,5,0
2207,Male,26,Kanpur,Student,4,0,6,2,0
2211,Male,22,Srinagar,Student,2,0,7,4,0
2226,Female,24,,Student,2,0,5,1,0
2233,Male,28,Srinagar,Student,5,0,7,4,0
2238,Male,34,Hyderabad,Student,3,0,8,3,0
2250,Male,20,Srinagar,Student,3,0,7,4,0
2255,Female,32,Lucknow,Student,2,0,6,4,0
2256,Female,20,Srinagar,Student,3,0,10,3,0
2260,Male,18,Jaipur,Student,3,0,7,,0
2267,Female,25,Ghaziabad,Student,1,0,9,2,0
2270,Male,29,Visakhapatnam,Student,3,0,9,3,0
2288,Male,27,Nagpur,Student,5,0,8,2,0
2290,Female,34,Kalyan,Student,3,0,8,3,0
2293,Male,32,Rajkot,Student,1,0,10,,0
2294,Male,29,Faridabad,Student,3,0,7,1,0
2295,Female,23,Lucknow,Student,4,0,8,1,0
2305,Female,27,Kolkata,Student,4,0,5,5,0
2310,Female,29,Pune,Student,5,0,6,2,0
2312,Female,30,Mumbai,Student,2,0,7,3,0
2314,Female,21,Nagpur,Student,3,0,7,5,0
2322,Female,32,Faridabad,Student,5,0,7,,0
2325,Male,20,Bangalore,Student,5,0,8,2,0
2330,Female,25,Ghaziabad,Student,5,0,9,2,0
2343,Male,31,Kalyan,Student,1,0,6,1,0
2348,Male,20,Bhopal,Student,5,0,7,5,0
2351,Female,23,,Student,3,0,8,3,0
2358,Male,31,Ghaziabad,Student,1,0,10,4,0
2364,Female,34,Surat,Student,1,0,9,5,0
2372,Male,24,Faridabad,Student,3,,10,2,0
2376,Male,32,Thane,Student,3,,10,,0
2385,Male,30,,Student,4,,7,1,0
2399,Female,18,Thane,Student,4,0,8,1,0
2405,Male,33,Meerut,Student,2,0,7,,0
2406,Male,34,,Student,4,0,8,1,0
2407,Female,20,Hyderabad,Student,3,0,6,4,0
2408,Female,22,Bangalore,Student,5,0,8,3,0
2418,Male,34,Surat,Student,1,0,8,3,0
2423,Female,30,Chennai,Student,5,0,7,1,0
2425,Male,19,,Student,3,0,5,4,0
2431,Female,19,Ludhiana,Student,4,0,6,1,0
2432,Male,20,Mumbai,Student,5,0,5,2,0
2439,Male,25,Hyderabad,Student,4,0,10,2,0
2444,Female,30,Agra,Student,5,0,9,5,0
2460,Male,26,Jaipur,Student,4,0,8,,0
2461,Female,21,Vadodara,Student,1,,6,2,0
2471,Female,28,Srinagar,Student,4,0,10,1,0
2474,Male,18,Ludhiana,Student,3,0,8,5,0
2482,Male,24,Ghaziabad,Student,2,0,6,1,0
2486,Male,29,,Student,4,0,8,5,0
2490,Male,28,Bhopal,Student,5,0,9,5,0
2494,Male,31,Varanasi,Student,3,0,8,5,0
2496,Male,25,,Student,5,0,7,2,0
2500,Male,28,Visakhapatnam,Student,4,0,9,5,0
2548,Male,33,Meerut,Student,1,0,10,2,0
2564,Male,30,Bangalore,Student,4,0,7,2,0
2568,Female,28,Vasai-Virar,Student,2,0,6,5,0
2569,Male,20,Ahmedabad,Student,4,0,7,3,0
2574,Female,18,,Student,1,0,9,3,0
2576,Female,29,Kolkata,Student,2,0,9,5,0
2581,Male,28,Hyderabad,Student,4,0,8,,0
2585,Female,24,Surat,Student,1,0,9,2,0
2589,Male,25,Mumbai,Student,5,0,7,,0
2591,Male,21,Mumbai,Student,1,0,7,,0
2592,Male,21,Visakhapatnam,Student,1,0,7,1,0
2605,Female,28,Lucknow,Student,5,0,8,2,0
2608,Female,34,Lucknow,Student,5,0,6,5,0
2622,Female,29,Kalyan,Student,4,0,5,2,0
2629,Female,19,Bangalore,Student,3,0,8,,0
2633,Female,19,Thane,Student,1,0,8,1,0
2652,Male,21,Indore,Student,5,0,9,5,0
2654,Male,23,Kalyan,Student,4,,6,3,0
2660,Female,25,Thane,Student,2,0,9,2,0
2663,Female,29,,Student,4,0,9,2,0
2672,Male,27,Patna,Student,4,0,8,4,0
2674,Female,19,Chennai,Student,5,0,7,1,0
2681,Male,26,Rajkot,Student,3,0,7,4,0
2685,Female,19,Vasai-Virar,Student,5,0,9,1,0
2687,Female,22,Ghaziabad,Student,3,0,9,1,0
2689,Female,23,,Student,1,0,10,4,0
2695,Male,29,Jaipur,Student,4,0,9,1,0
2696,Male,21,Thane,Student,1,0,8,1,0
2704,Male,24,Agra,Student,4,0,7,3,0
2710,Male,24,Lucknow,Student,2,0,8,2,0
2712,Male,32,Jaipur,Student,4,0,5,5,0
2721,Female,22,Vasai-Virar,Student,3,0,8,4,0
2724,Male,23,Vasai-Virar,Student,3,0,6,3,0
2726,Female,33,Kanpur,Student,4,0,5,5,0
2743,Female,27,Ghaziabad,Student,4,0,6,3,0
2749,Female,26,Ludhiana,Student,3,0,9,3,0
2754,Male,24,Hyderabad,Student,2,0,5,5,0
2755,Male,33,Kolkata,Student,5,0,10,2,0
2759,Male,33,Visakhapatnam,Student,4,0,8,2,0
2766,Female,25,Faridabad,Student,3,0,10,,0
2770,Female,27,,Student,2,,6,,0
2772,Female,25,Chennai,Student,3,,9,2,0
2774,Male,28,Jaipur,Student,5,0,8,2,0
2777,Female,21,Vasai-Virar,Student,1,,8,3,0
2779,Male,29,Ghaziabad,Student,2,0,8,5,0
